action,variant,id,input,expected,status,passed,timestamp
"view_manual","Z_entity","Z3","Get the maintenance manual, not operator guide","view_manual",404,true,"2026-01-20T19:56:55.652Z"
"view_manual","W_contradiction","W1","Show manual but I don't remember which equipment","clarification_required",404,true,"2026-01-20T19:56:56.167Z"
"view_manual","W_contradiction","W2","Close the manual","separate_action_close",404,true,"2026-01-20T19:56:57.329Z"
"schedule_maintenance","Y_paraphrase","Y1","Schedule maintenance for Generator 2 next week","schedule_maintenance",404,true,"2026-01-20T19:56:57.470Z"
"schedule_maintenance","Y_paraphrase","Y2","Plan HVAC service for next month","schedule_maintenance",404,true,"2026-01-20T19:56:57.994Z"
"schedule_maintenance","Y_paraphrase","Y3","Book in bow thruster inspection for Friday","schedule_maintenance",404,true,"2026-01-20T19:56:58.103Z"
"schedule_maintenance","Y_paraphrase","Y4","Set up a routine check on the watermaker","schedule_maintenance",404,true,"2026-01-20T19:56:59.209Z"
"schedule_maintenance","Y_paraphrase","Y5","Add radar calibration to maintenance calendar","schedule_maintenance",404,true,"2026-01-20T19:56:59.558Z"
"schedule_maintenance","Z_entity","Z1","Schedule gen2 maintenance","schedule_maintenance",404,true,"2026-01-20T19:57:00.116Z"
"schedule_maintenance","Z_entity","Z2","Schedule maintenance for 2026-02-15","schedule_maintenance",404,true,"2026-01-20T19:57:00.240Z"
"schedule_maintenance","Z_entity","Z3","Schedule 500hr service","schedule_maintenance",404,true,"2026-01-20T19:57:00.480Z"
"schedule_maintenance","W_contradiction","W1","Schedule maintenance but we're departing that day","clarification_required",404,true,"2026-01-20T19:57:01.001Z"
"schedule_maintenance","W_contradiction","W2","Cancel the scheduled maintenance","separate_action_cancel",404,true,"2026-01-20T19:57:01.128Z"
"close_work_order","Y_paraphrase","Y1","Close work order WO-2024-001","close_work_order",200,true,"2026-01-20T19:57:01.789Z"
"close_work_order","Y_paraphrase","Y2","Mark the generator maintenance job as complete","close_work_order",200,true,"2026-01-20T19:57:02.236Z"
"close_work_order","Y_paraphrase","Y3","Finish and close the HVAC repair work order","close_work_order",200,true,"2026-01-20T19:57:03.253Z"
"close_work_order","Y_paraphrase","Y4","Complete the bow thruster inspection ticket","close_work_order",200,true,"2026-01-20T19:57:03.632Z"
"close_work_order","Y_paraphrase","Y5","Sign off on job card for radar calibration","close_work_order",200,true,"2026-01-20T19:57:04.253Z"
"close_work_order","Z_entity","Z1","Close WO b04c6e09-7b40-4802-accd-966c0baa9701","close_work_order",200,true,"2026-01-20T19:57:04.973Z"
"close_work_order","Z_entity","Z2","Close the gen2 oil change work order","close_work_order",200,true,"2026-01-20T19:57:05.736Z"
"close_work_order","Z_entity","Z3","Close all overdue work orders","close_work_order",200,true,"2026-01-20T19:57:07.026Z"
"close_work_order","W_contradiction","W1","Close the work order but leave it as pending","contradiction_error",200,true,"2026-01-20T19:57:08.843Z"
"close_work_order","W_contradiction","W2","Reopen the work order I just closed","separate_action_reopen",200,true,"2026-01-20T19:57:11.849Z"
"attach_document","Y_paraphrase","Y1","Attach service report to work order WO-2024-001","attach_document",404,true,"2026-01-20T19:57:13.204Z"
"attach_document","Y_paraphrase","Y2","Link the invoice PDF to Generator 2","attach_document",404,true,"2026-01-20T19:57:13.319Z"
"attach_document","Y_paraphrase","Y3","Add photo evidence to fault report","attach_document",404,true,"2026-01-20T19:57:13.438Z"
"attach_document","Y_paraphrase","Y4","Upload certificate to equipment record","attach_document",404,true,"2026-01-20T19:57:16.009Z"
"attach_document","Y_paraphrase","Y5","Connect the inspection checklist to this job","attach_document",404,true,"2026-01-20T19:57:16.873Z"
"attach_document","Z_entity","Z1","Attach to WO b04c6e09","attach_document",404,true,"2026-01-20T19:57:16.986Z"
"attach_document","Z_entity","Z2","Attach to Generator 2","attach_document",404,true,"2026-01-20T19:57:17.359Z"
"attach_document","Z_entity","Z3","Attach Generic_watermakers_Document_4.pdf","attach_document",404,true,"2026-01-20T19:57:17.498Z"
"attach_document","W_contradiction","W1","Attach document but it's confidential","permission_check",404,true,"2026-01-20T19:57:17.791Z"
"attach_document","W_contradiction","W2","Remove the document I just attached","separate_action_remove",404,true,"2026-01-20T19:57:17.990Z"
"search_inventory","Y_paraphrase","Y1","Search inventory for oil filters","search_inventory",404,true,"2026-01-20T19:57:18.110Z"
"search_inventory","Y_paraphrase","Y2","Check if we have hydraulic seals in stock","search_inventory",404,true,"2026-01-20T19:57:18.247Z"
"search_inventory","Y_paraphrase","Y3","Find spare fuel filters in parts store","search_inventory",404,true,"2026-01-20T19:57:18.407Z"
"search_inventory","Y_paraphrase","Y4","Look up how many belts we have","search_inventory",404,true,"2026-01-20T19:57:18.519Z"
"search_inventory","Y_paraphrase","Y5","Query parts inventory for radar cables","search_inventory",404,true,"2026-01-20T19:57:18.641Z"
"search_inventory","Z_entity","Z1","Search for GEN-OF-001","search_inventory",404,true,"2026-01-20T19:57:18.762Z"
"search_inventory","Z_entity","Z2","Search parts for gen 2","search_inventory",404,true,"2026-01-20T19:57:18.931Z"
"search_inventory","Z_entity","Z3","Check Engine Room Store A inventory","search_inventory",404,true,"2026-01-20T19:57:19.045Z"
"search_inventory","W_contradiction","W1","Search inventory but I forgot what I need","clarification_required",404,true,"2026-01-20T19:57:19.161Z"
"search_inventory","W_contradiction","W2","Clear my search results","ui_action_clear",404,true,"2026-01-20T19:57:19.281Z"
"link_email_to_entity","Y_paraphrase","Y1","Link this email to work order WO-2024-001","link_email_to_entity",404,true,"2026-01-20T19:57:19.456Z"
"link_email_to_entity","Y_paraphrase","Y2","Connect the email to Generator 2 equipment","link_email_to_entity",404,true,"2026-01-20T19:57:20.122Z"
"link_email_to_entity","Y_paraphrase","Y3","Associate this message with the HVAC fault report","link_email_to_entity",404,true,"2026-01-20T19:57:20.232Z"
"link_email_to_entity","Y_paraphrase","Y4","Attach email correspondence to purchase order","link_email_to_entity",404,true,"2026-01-20T19:57:20.366Z"
"link_email_to_entity","Y_paraphrase","Y5","File this email under radar maintenance","link_email_to_entity",404,true,"2026-01-20T19:57:20.504Z"
"link_email_to_entity","Z_entity","Z1","Link to WO b04c6e09","link_email_to_entity",404,true,"2026-01-20T19:57:20.632Z"
"link_email_to_entity","Z_entity","Z2","Link to equipment Generator 2","link_email_to_entity",404,true,"2026-01-20T19:57:20.780Z"
"link_email_to_entity","Z_entity","Z3","Link from email thread ID abc123","link_email_to_entity",404,true,"2026-01-20T19:57:20.898Z"
"link_email_to_entity","W_contradiction","W1","Link email but it's not related","confirmation_required",404,true,"2026-01-20T19:57:21.028Z"
"link_email_to_entity","W_contradiction","W2","Unlink the email I just linked","separate_action_unlink",404,true,"2026-01-20T19:57:21.179Z"
