table_name,column_name,data_type,is_nullable,description
pms_part_usage,work_order_id,uuid,YES,"Note:
This is a Foreign Key to `pms_work_orders.id"
pms_part_usage,equipment_id,uuid,YES,"Note:
This is a Foreign Key to `pms_equipment.id`."
pms_part_usage,usage_reason,text,NO,"WHY part was used: work_order (linked to WO), prev"
pms_part_usage,notes,text,YES,
pms_part_usage,used_by,uuid,NO,WHO used this part. Links to auth.users. For accou
pms_part_usage,used_at,timestamptz,NO,
pms_part_usage,metadata,jsonb,YES,
log_pipeline_execution,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
log_pipeline_execution,yacht_id,uuid,YES,"Note:
This is a Foreign Key to `yacht_registry.id`"
log_pipeline_execution,document_id,uuid,YES,"Note:
This is a Foreign Key to `doc_metadata.id`.<"
log_pipeline_execution,step,text,NO,
log_pipeline_execution,status,text,NO,
log_pipeline_execution,message,text,YES,
log_pipeline_execution,error_details,jsonb,YES,
log_pipeline_execution,metadata,jsonb,YES,
log_pipeline_execution,duration_ms,integer,YES,
log_pipeline_execution,created_at,timestamptz,NO,
pms_handover,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
pms_handover,yacht_id,uuid,NO,
pms_handover,entity_type,text,NO,"Type of entity being handed over: work_order, faul"
pms_handover,entity_id,uuid,YES,
pms_handover,summary_text,text,NO,
pms_handover,category,text,YES,"Category: urgent (needs immediate attention), in_p"
pms_handover,priority,integer,YES,
pms_handover,added_by,uuid,NO,"Note:
This is a Foreign Key to `auth_users_profile"
pms_handover,added_at,timestamptz,NO,
pms_handover,metadata,jsonb,YES,
pms_attachments,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
pms_attachments,yacht_id,uuid,NO,
pms_attachments,entity_type,varchar,NO,
pms_attachments,entity_id,uuid,NO,
pms_attachments,filename,varchar,NO,
pms_attachments,original_filename,varchar,YES,
pms_attachments,mime_type,varchar,NO,
pms_attachments,file_size,integer,YES,
pms_attachments,storage_path,text,NO,
pms_attachments,width,integer,YES,
pms_attachments,height,integer,YES,
pms_attachments,thumbnail_path,text,YES,
pms_attachments,description,text,YES,
pms_attachments,tags,text[],YES,
pms_attachments,metadata,jsonb,YES,
pms_attachments,uploaded_by,uuid,NO,
pms_attachments,uploaded_at,timestamptz,NO,
pms_attachments,created_at,timestamptz,NO,
pms_attachments,updated_at,timestamptz,YES,
pms_attachments,deleted_at,timestamptz,YES,
pms_attachments,deleted_by,uuid,YES,
pms_attachments,deletion_reason,text,YES,
pms_attachments,related_text,text,YES,Surface facts for Show Related: filename | descrip
pms_attachments,category,varchar,YES,Attachment category for bucket determination: phot
pms_shopping_list_items,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
pms_shopping_list_items,yacht_id,uuid,NO,"Note:
This is a Foreign Key to `yacht_registry.id`"
pms_shopping_list_items,part_id,uuid,YES,"Note:
This is a Foreign Key to `pms_parts.id`.<fk "
pms_shopping_list_items,part_name,text,NO,
pms_shopping_list_items,part_number,text,YES,
pms_shopping_list_items,manufacturer,text,YES,
pms_shopping_list_items,is_candidate_part,boolean,NO,
pms_shopping_list_items,quantity_requested,numeric,NO,
pms_shopping_list_items,quantity_approved,numeric,YES,
pms_shopping_list_items,quantity_ordered,numeric,YES,
pms_shopping_list_items,quantity_received,numeric,YES,
pms_shopping_list_items,quantity_installed,numeric,YES,
pms_shopping_list_items,unit,text,YES,
pms_shopping_list_items,preferred_supplier,text,YES,
pms_shopping_list_items,estimated_unit_price,numeric,YES,
pms_shopping_list_items,status,text,NO,
pms_shopping_list_items,source_type,text,NO,
pms_shopping_list_items,source_work_order_id,uuid,YES,"Note:
This is a Foreign Key to `pms_work_orders.id"
pms_shopping_list_items,source_receiving_id,uuid,YES,"Note:
This is a Foreign Key to `pms_receiving_even"
pms_shopping_list_items,source_notes,text,YES,
pms_shopping_list_items,order_id,uuid,YES,"Note:
This is a Foreign Key to `pms_orders.id`.<fk"
pms_shopping_list_items,order_line_number,integer,YES,
pms_shopping_list_items,approved_by,uuid,YES,
pms_shopping_list_items,approved_at,timestamptz,YES,
pms_shopping_list_items,approval_notes,text,YES,
pms_shopping_list_items,rejected_by,uuid,YES,
pms_shopping_list_items,rejected_at,timestamptz,YES,
pms_shopping_list_items,rejection_reason,text,YES,
pms_shopping_list_items,fulfilled_at,timestamptz,YES,
pms_shopping_list_items,installed_at,timestamptz,YES,
pms_shopping_list_items,installed_to_equipment_id,uuid,YES,"Note:
This is a Foreign Key to `pms_equipment.id`."
pms_shopping_list_items,urgency,text,YES,
pms_shopping_list_items,required_by_date,date,YES,
pms_shopping_list_items,created_by,uuid,NO,
pms_shopping_list_items,created_at,timestamptz,NO,
pms_shopping_list_items,updated_by,uuid,YES,
pms_shopping_list_items,updated_at,timestamptz,NO,
pms_shopping_list_items,deleted_at,timestamptz,YES,
pms_shopping_list_items,deleted_by,uuid,YES,
pms_shopping_list_items,deletion_reason,text,YES,
pms_shopping_list_items,metadata,jsonb,YES,
pms_shopping_list_items,rejection_notes,text,YES,
pms_shopping_list_items,candidate_promoted_to_part_id,uuid,YES,"Note:
This is a Foreign Key to `pms_parts.id`.<fk "
pms_shopping_list_items,promoted_by,uuid,YES,
pms_shopping_list_items,promoted_at,timestamptz,YES,
pms_shopping_list_items,requested_by,uuid,YES,User who requested the item
pms_shopping_list_items,requested_at,timestamptz,YES,When item was added to list
equipment_aliases,id,uuid,YES,"Note:
This is a Primary Key.<pk/>"
equipment_aliases,yacht_id,uuid,YES,"Note:
This is a Foreign Key to `yacht_registry.id`"
equipment_aliases,equipment_id,uuid,YES,"Note:
This is a Foreign Key to `pms_equipment.id`."
equipment_aliases,alias,text,YES,
equipment_aliases,alias_type,text,YES,
equipment_aliases,confidence,double precision,YES,
equipment_aliases,created_at,timestamptz,YES,
decision_audit_log,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
decision_audit_log,execution_id,uuid,NO,UUID grouping all decisions from a single evaluati
decision_audit_log,timestamp,timestamptz,NO,
decision_audit_log,user_id,uuid,NO,
decision_audit_log,yacht_id,uuid,NO,
decision_audit_log,session_id,uuid,YES,
decision_audit_log,user_role,text,YES,
decision_audit_log,action,text,NO,
decision_audit_log,decision,text,NO,"Outcome: show (allowed), hide (blocked/low confide"
decision_audit_log,tier,text,YES,
decision_audit_log,confidence_total,double precision,YES,E018 weighted sum: intent*0.4 + entity*0.4 + situa
decision_audit_log,confidence_intent,double precision,YES,
decision_audit_log,confidence_entity,double precision,YES,
decision_audit_log,confidence_situation,double precision,YES,
decision_audit_log,reasons,jsonb,YES,
decision_audit_log,blocked_by,text,YES,
decision_audit_log,blocked_by_type,text,YES,
decision_audit_log,detected_intents,jsonb,YES,
decision_audit_log,entities,jsonb,YES,
decision_audit_log,situation,jsonb,YES,
decision_audit_log,environment,text,YES,
pms_equipment_documents,id,uuid,NO,"Primary key

Note:
This is a Primary Key.<pk/>"
pms_equipment_documents,yacht_id,uuid,NO,"Yacht isolation FK

Note:
This is a Foreign Key to"
pms_equipment_documents,equipment_id,uuid,NO,"FK to pms_equipment

Note:
This is a Foreign Key t"
pms_equipment_documents,document_id,uuid,YES,Optional FK to doc_metadata for centralized docume
pms_equipment_documents,storage_path,text,NO,Full bucket path: {yacht_id}/equipment/{equipment_
pms_equipment_documents,filename,text,NO,UUID-based filename in storage
pms_equipment_documents,original_filename,text,YES,User-provided original filename
pms_equipment_documents,mime_type,text,YES,Detected MIME type
pms_equipment_documents,file_size,bigint,YES,File size in bytes
pms_equipment_documents,document_type,text,YES,"Classification: manual, photo, certificate, diagra"
pms_equipment_documents,description,text,YES,User-provided description
pms_equipment_documents,tags,text[],YES,Array of user tags for filtering
pms_equipment_documents,uploaded_by,uuid,YES,User who uploaded the document
pms_equipment_documents,uploaded_at,timestamptz,NO,Timestamp of upload
pms_equipment_documents,created_at,timestamptz,NO,
pms_equipment_documents,comment,text,YES,Inline comment for image attachments (attach_image
email_extraction_results,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
email_extraction_results,yacht_id,uuid,NO,"Note:
This is a Foreign Key to `yacht_registry.id`"
email_extraction_results,message_id,uuid,NO,"Note:
This is a Foreign Key to `email_messages.id`"
email_extraction_results,entity_type,text,NO,
email_extraction_results,entity_value,text,NO,
email_extraction_results,entity_id,uuid,YES,
email_extraction_results,confidence,numeric,YES,
email_extraction_results,extraction_method,text,YES,
email_extraction_results,found_in,text,YES,
email_extraction_results,created_at,timestamptz,NO,
alias_systems,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
alias_systems,yacht_id,uuid,NO,"Note:
This is a Foreign Key to `yacht_registry.id`"
alias_systems,system_type,text,NO,
alias_systems,alias,text,NO,
alias_systems,alias_type,text,YES,
alias_systems,confidence,double precision,YES,
alias_systems,created_at,timestamptz,YES,
alias_systems,source,text,YES,
alias_systems,master_candidate_id,uuid,YES,
alias_systems,deployed_at,timestamptz,YES,
email_sync_dlq,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
email_sync_dlq,yacht_id,uuid,NO,"Note:
This is a Foreign Key to `yacht_registry.id`"
email_sync_dlq,watcher_id,uuid,NO,"Note:
This is a Foreign Key to `email_watchers.id`"
email_sync_dlq,item_ref,text,NO,
email_sync_dlq,item_type,text,NO,
email_sync_dlq,first_failed_at,timestamptz,NO,
email_sync_dlq,last_failed_at,timestamptz,NO,
email_sync_dlq,fail_count,integer,NO,
email_sync_dlq,last_error,text,YES,
email_sync_dlq,last_error_code,text,YES,
email_sync_dlq,retry_after_at,timestamptz,YES,
email_sync_dlq,next_retry_at,timestamptz,YES,
email_sync_dlq,status,text,NO,
email_sync_dlq,closed_reason,text,YES,
email_sync_dlq,closed_at,timestamptz,YES,
email_sync_dlq,created_at,timestamptz,YES,
email_sync_dlq,updated_at,timestamptz,YES,
email_extraction_jobs,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
email_extraction_jobs,yacht_id,uuid,NO,
email_extraction_jobs,query,text,YES,
email_extraction_jobs,days_back,integer,YES,
email_extraction_jobs,max_emails,integer,YES,
email_extraction_jobs,folder_id,text,YES,
email_extraction_jobs,status,text,NO,
email_extraction_jobs,started_at,timestamptz,YES,
email_extraction_jobs,completed_at,timestamptz,YES,
email_extraction_jobs,emails_fetched,integer,YES,
email_extraction_jobs,emails_classified,integer,YES,
email_extraction_jobs,entries_created,integer,YES,
email_extraction_jobs,current_stage,text,YES,
email_extraction_jobs,stage_progress,jsonb,YES,
email_extraction_jobs,error_message,text,YES,
email_extraction_jobs,error_details,jsonb,YES,
email_extraction_jobs,draft_id,uuid,YES,
email_extraction_jobs,created_by_user_id,uuid,YES,
email_extraction_jobs,created_at,timestamptz,NO,
email_extraction_jobs,message_id,uuid,YES,"Note:
This is a Foreign Key to `email_messages.id`"
email_extraction_jobs,job_type,text,YES,
email_extraction_jobs,retry_count,integer,YES,
email_extraction_jobs,entities_found,jsonb,YES,
email_extraction_jobs,embedding_generated,boolean,YES,
embedding_jobs,id,bigint,NO,"Note:
This is a Primary Key.<pk/>"
embedding_jobs,object_type,text,NO,
embedding_jobs,object_id,uuid,NO,
embedding_jobs,org_id,uuid,NO,
embedding_jobs,yacht_id,uuid,YES,
embedding_jobs,status,text,NO,
embedding_jobs,attempt,integer,NO,
embedding_jobs,last_error,text,YES,
embedding_jobs,created_at,timestamptz,NO,
embedding_jobs,updated_at,timestamptz,NO,
pms_health_events,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
pms_health_events,check_id,uuid,NO,"Parent health check ID

Note:
This is a Foreign Ke"
pms_health_events,level,text,NO,"Event severity: info (informational), warning (deg"
pms_health_events,detail_json,jsonb,NO,"Event-specific details (error messages, endpoint f"
pms_health_events,created_at,timestamptz,NO,
pms_checklist_items,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
pms_checklist_items,yacht_id,uuid,NO,
pms_checklist_items,checklist_id,uuid,NO,"Note:
This is a Foreign Key to `pms_checklists.id`"
pms_checklist_items,description,text,NO,
pms_checklist_items,instructions,text,YES,
pms_checklist_items,sequence,integer,NO,
pms_checklist_items,is_completed,boolean,NO,
pms_checklist_items,completed_at,timestamptz,YES,
pms_checklist_items,completed_by,uuid,YES,
pms_checklist_items,completion_notes,text,YES,
pms_checklist_items,is_required,boolean,NO,
pms_checklist_items,requires_photo,boolean,NO,
pms_checklist_items,requires_signature,boolean,NO,
pms_checklist_items,requires_value,boolean,NO,
pms_checklist_items,value_type,varchar,YES,
pms_checklist_items,value_unit,varchar,YES,
pms_checklist_items,value_min,numeric,YES,
pms_checklist_items,value_max,numeric,YES,
pms_checklist_items,recorded_value,text,YES,
pms_checklist_items,recorded_at,timestamptz,YES,
pms_checklist_items,recorded_by,uuid,YES,
pms_checklist_items,photo_url,text,YES,
pms_checklist_items,signature_data,jsonb,YES,
pms_checklist_items,status,varchar,NO,
pms_checklist_items,metadata,jsonb,YES,
pms_checklist_items,created_at,timestamptz,NO,
pms_checklist_items,created_by,uuid,YES,
pms_checklist_items,updated_at,timestamptz,YES,
pms_checklist_items,updated_by,uuid,YES,
pms_checklist_items,deleted_at,timestamptz,YES,
pms_checklist_items,deleted_by,uuid,YES,
pms_checklist_items,deletion_reason,text,YES,
pms_equipment_status_log,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
pms_equipment_status_log,yacht_id,uuid,NO,"Note:
This is a Foreign Key to `yacht_registry.id`"
pms_equipment_status_log,equipment_id,uuid,NO,"Note:
This is a Foreign Key to `pms_equipment.id`."
pms_equipment_status_log,old_status,text,YES,
pms_equipment_status_log,new_status,text,NO,
pms_equipment_status_log,changed_at,timestamptz,NO,
pms_equipment_status_log,changed_by,uuid,YES,
pms_equipment_status_log,reason,text,YES,Optional reason for status change
pms_equipment_status_log,work_order_id,uuid,YES,Work order that caused this status change (if any)
pms_equipment_status_log,created_at,timestamptz,NO,
yacht_resolution_records,resolution_id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
yacht_resolution_records,yacht_id,text,NO,
yacht_resolution_records,resolution_title,varchar,YES,
yacht_resolution_records,resolution_description,text,YES,
yacht_resolution_records,resolution_steps,jsonb,YES,
yacht_resolution_records,equipment_type,varchar,YES,
yacht_resolution_records,applicable_models,text[],YES,
yacht_resolution_records,success_count,integer,YES,
yacht_resolution_records,failure_count,integer,YES,
yacht_resolution_records,average_time_minutes,integer,YES,
yacht_resolution_records,difficulty_level,varchar,YES,
yacht_resolution_records,required_expertise,text[],YES,
yacht_resolution_records,safety_warnings,text[],YES,
yacht_resolution_records,tools_required,text[],YES,
yacht_resolution_records,parts_required,jsonb,YES,
yacht_resolution_records,estimated_cost_range,varchar,YES,
yacht_resolution_records,created_by,varchar,YES,
yacht_resolution_records,approved_by,varchar,YES,
yacht_resolution_records,approval_date,timestamptz,YES,
yacht_resolution_records,is_verified,boolean,YES,
yacht_resolution_records,created_at,timestamptz,YES,
yacht_resolution_records,updated_at,timestamptz,YES,
suggestion_log,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
suggestion_log,yacht_id,uuid,NO,
suggestion_log,user_id,uuid,YES,
suggestion_log,query_text,text,NO,
suggestion_log,intent,text,YES,
suggestion_log,search_query_id,uuid,YES,
suggestion_log,situation_detected,boolean,YES,
suggestion_log,situation_type,text,YES,
suggestion_log,suggested_actions,jsonb,YES,
suggestion_log,action_taken,text,YES,
suggestion_log,action_taken_at,timestamptz,YES,
suggestion_log,feedback,text,YES,
suggestion_log,created_at,timestamptz,NO,
handover_drafts,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
handover_drafts,yacht_id,uuid,NO,
handover_drafts,period_start,timestamptz,NO,
handover_drafts,period_end,timestamptz,NO,
handover_drafts,title,text,YES,
handover_drafts,department,text,YES,
handover_drafts,generated_at,timestamptz,NO,
handover_drafts,generated_by_user_id,uuid,YES,
handover_drafts,generated_by_version,text,YES,
handover_drafts,generation_method,text,YES,
handover_drafts,state,text,NO,
handover_drafts,last_modified_at,timestamptz,NO,
handover_drafts,last_modified_by,uuid,YES,
handover_drafts,total_entries,integer,YES,
handover_drafts,critical_entries,integer,YES,
handover_drafts,metadata,jsonb,YES,
handover_drafts,created_at,timestamptz,NO,
email_messages,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
email_messages,thread_id,uuid,NO,"Note:
This is a Foreign Key to `email_threads.id`."
email_messages,yacht_id,uuid,NO,"Note:
This is a Foreign Key to `yacht_registry.id`"
email_messages,provider_message_id,text,NO,
email_messages,internet_message_id,text,YES,
email_messages,direction,text,NO,
email_messages,from_address_hash,text,NO,
email_messages,from_display_name,text,YES,
email_messages,to_addresses_hash,text[],YES,
email_messages,cc_addresses_hash,text[],YES,
email_messages,subject,text,YES,
email_messages,sent_at,timestamptz,YES,
email_messages,received_at,timestamptz,YES,
email_messages,has_attachments,boolean,NO,
email_messages,attachments,jsonb,YES,
email_messages,folder,text,YES,
email_messages,provider_etag,text,YES,
email_messages,created_at,timestamptz,NO,
email_messages,subject_embedding,public.vector(1536),YES,
email_messages,sender_embedding,public.vector(1536),YES,
email_messages,meta_embedding,public.vector(1536),YES,
email_messages,entities_extracted,jsonb,YES,
email_messages,entities_extracted_at,timestamptz,YES,
email_messages,preview_text,text,YES,First 200 characters of email body. Safe for stora
email_messages,embedding,public.vector(1536),YES,Vector embedding from OpenAI text-embeddings-3-sma
email_messages,extracted_entities,jsonb,YES,Raw entities extracted from email content: {work_o
email_messages,entity_matches,jsonb,YES,Matched operational object IDs: {work_order_ids: [
email_messages,extraction_status,text,YES,Status of background extraction job: pending → pro
email_messages,indexed_at,timestamptz,YES,When embedding and entity extraction completed suc
email_messages,content_hash,text,YES,SHA256 of normalized content for no-op detection
email_messages,last_seen_at,timestamptz,YES,Last time message was seen in delta sync
email_messages,change_key,text,YES,Graph API change detection key
email_messages,is_active,boolean,NO,False if message was deleted/moved in provider
